recipe_name,ingredients,ingredients_parsed
Rellenong Bangus,"bangus (milkfish), lemon, soy sauce, onion, garlic, carrot, green peas, raisins, oyster sauce, salt, pepper, flour","['b', 'a', 'n', 'g', 'u', 's', 'm', 'i', 'l', 'k', 'f', 'i', 's', 'h', 'l', 'e', 'm', 'o', 'n', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'c', 'a', 'r', 'r', 'o', 't', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'a', 's', 'r', 'a', 'i', 's', 'i', 'n', 's', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r', 'f', 'l', 'o', 'u', 'r']"
Mixed Seafood with Oyster Sauce,"fish fillet, prawns, mussels, squid, oyster sauce, ginger, garlic, spring onions, sugar, cayenne, salt, pepper","['f', 'i', 's', 'h', 'f', 'i', 'l', 'l', 'e', 't', 'p', 'r', 'a', 'w', 'n', 's', 'm', 'u', 's', 's', 'e', 'l', 's', 's', 'q', 'u', 'i', 'd', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'p', 'r', 'i', 'n', 'g', 'o', 'n', 'i', 'o', 'n', 's', 's', 'u', 'g', 'a', 'r', 'c', 'a', 'y', 'e', 'n', 'n', 'e', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Filipino Spaghetti,"spaghetti noodles, ground pork, luncheon meat, hotdogs, Filipino Style Spaghetti Sauce, cheese, beef broth, onion, garlic, salt, pepper","['s', 'p', 'a', 'g', 'h', 'e', 't', 't', 'i', 'n', 'o', 'o', 'd', 'l', 'e', 's', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'o', 'r', 'k', 'l', 'u', 'n', 'c', 'h', 'e', 'o', 'n', 'm', 'e', 'a', 't', 'h', 'o', 't', 'd', 'o', 'g', 's', 'f', 'i', 'l', 'i', 'p', 'i', 'n', 'o', 's', 't', 'y', 'l', 'e', 's', 'p', 'a', 'g', 'h', 'e', 't', 't', 'i', 's', 'a', 'u', 'c', 'e', 'c', 'h', 'e', 'e', 's', 'e', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Pansit Bihon,"pansit bihon, pork, chicken, snow peas, carrot, cabbage, celery leaves, onion, garlic, soy sauce","['p', 'a', 'n', 's', 'i', 't', 'b', 'i', 'h', 'o', 'n', 'p', 'o', 'r', 'k', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 's', 'n', 'o', 'w', 'p', 'e', 'a', 's', 'c', 'a', 'r', 'r', 'o', 't', 'c', 'a', 'b', 'b', 'a', 'g', 'e', 'c', 'e', 'l', 'e', 'r', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e']"
Pancit Canton,"flour stick noodles, pork, sausage, onion, garlic, shrimp, snap peas, carrot, cabbage, chicken broth, oyster sauce, soy sauce, parsley, salt, pepper","['f', 'l', 'o', 'u', 'r', 's', 't', 'i', 'c', 'k', 'n', 'o', 'o', 'd', 'l', 'e', 's', 'p', 'o', 'r', 'k', 's', 'a', 'u', 's', 'a', 'g', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'h', 'r', 'i', 'm', 'p', 's', 'n', 'a', 'p', 'p', 'e', 'a', 's', 'c', 'a', 'r', 'r', 'o', 't', 'c', 'a', 'b', 'b', 'a', 'g', 'e', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'b', 'r', 'o', 't', 'h', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'p', 'a', 'r', 's', 'l', 'e', 'y', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Pancit Palabok,"palabok noodles, pork, beef broth, annatto seeds, shrimp powder, flour, tinapa flakes, eggs, shrimp, cabbage, pork rinds, scallions, salt, pepper","['p', 'a', 'l', 'a', 'b', 'o', 'k', 'n', 'o', 'o', 'd', 'l', 'e', 's', 'p', 'o', 'r', 'k', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'a', 'n', 'n', 'a', 't', 't', 'o', 's', 'e', 'e', 'd', 's', 's', 'h', 'r', 'i', 'm', 'p', 'p', 'o', 'w', 'd', 'e', 'r', 'f', 'l', 'o', 'u', 'r', 't', 'i', 'n', 'a', 'p', 'a', 'f', 'l', 'a', 'k', 'e', 's', 'e', 'g', 'g', 's', 's', 'h', 'r', 'i', 'm', 'p', 'c', 'a', 'b', 'b', 'a', 'g', 'e', 'p', 'o', 'r', 'k', 'r', 'i', 'n', 'd', 's', 's', 'c', 'a', 'l', 'l', 'i', 'o', 'n', 's', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Chicken BBQ,"chicken, ginger, lemongrass, annatto oil, sugar, coconut vinegar, peppercorn, salt, margarine, salt","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'g', 'i', 'n', 'g', 'e', 'r', 'l', 'e', 'm', 'o', 'n', 'g', 'r', 'a', 's', 's', 'a', 'n', 'n', 'a', 't', 't', 'o', 'o', 'i', 'l', 's', 'u', 'g', 'a', 'r', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 'p', 'e', 'p', 'p', 'e', 'r', 'c', 'o', 'r', 'n', 's', 'a', 'l', 't', 'm', 'a', 'r', 'g', 'a', 'r', 'i', 'n', 'e', 's', 'a', 'l', 't']"
Pork BBQ,"pork, soy sauce, calamansi, ketchup, sugar, pepper, salt, lemon","['p', 'o', 'r', 'k', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'c', 'a', 'l', 'a', 'm', 'a', 'n', 's', 'i', 'k', 'e', 't', 'c', 'h', 'u', 'p', 's', 'u', 'g', 'a', 'r', 'p', 'e', 'p', 'p', 'e', 'r', 's', 'a', 'l', 't', 'l', 'e', 'm', 'o', 'n']"
Lumpia,"lumpia wrapper, ground pork, onion, carrot, egg, pepper","['l', 'u', 'm', 'p', 'i', 'a', 'w', 'r', 'a', 'p', 'p', 'e', 'r', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'o', 'r', 'k', 'o', 'n', 'i', 'o', 'n', 'c', 'a', 'r', 'r', 'o', 't', 'e', 'g', 'g', 'p', 'e', 'p', 'p', 'e', 'r']"
Paksiw na Pata,"pork hock, garlic, soy sauce, vinegar, sugar, banana blossoms, bay leaves, peppercorn, salt","['p', 'o', 'r', 'k', 'h', 'o', 'c', 'k', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 's', 'u', 'g', 'a', 'r', 'b', 'a', 'n', 'a', 'n', 'a', 'b', 'l', 'o', 's', 's', 'o', 'm', 's', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'p', 'e', 'p', 'p', 'e', 'r', 'c', 'o', 'r', 'n', 's', 'a', 'l', 't']"
Pochero,"pork, bok choy, banana (saba), chorizo, tomato, green beans, potato, tomato sauce, onion, garlic, pork broth, fish sauce, pepper","['p', 'o', 'r', 'k', 'b', 'o', 'k', 'c', 'h', 'o', 'y', 'b', 'a', 'n', 'a', 'n', 'a', 's', 'a', 'b', 'a', 'c', 'h', 'o', 'r', 'i', 'z', 'o', 't', 'o', 'm', 'a', 't', 'o', 'g', 'r', 'e', 'e', 'n', 'b', 'e', 'a', 'n', 's', 'p', 'o', 't', 'a', 't', 'o', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'r', 'k', 'b', 'r', 'o', 't', 'h', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'p', 'e', 'p', 'p', 'e', 'r']"
Bopis,"chicken gizzard, chicken heart, carrot, radish, onion, bell pepper, annatto seeds, tomato, chili, vinegar, ginger, soy sauce, fish sauce, garlic, bay leaves","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'g', 'i', 'z', 'z', 'a', 'r', 'd', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'h', 'e', 'a', 'r', 't', 'c', 'a', 'r', 'r', 'o', 't', 'r', 'a', 'd', 'i', 's', 'h', 'o', 'n', 'i', 'o', 'n', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'a', 'n', 'n', 'a', 't', 't', 'o', 's', 'e', 'e', 'd', 's', 't', 'o', 'm', 'a', 't', 'o', 'c', 'h', 'i', 'l', 'i', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 'g', 'i', 'n', 'g', 'e', 'r', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'g', 'a', 'r', 'l', 'i', 'c', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's']"
Hamonado,"pork, pineapple, soy sauce, beef broth, onion, garlic, sugar, salt, pepper","['p', 'o', 'r', 'k', 'p', 'i', 'n', 'e', 'a', 'p', 'p', 'l', 'e', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'u', 'g', 'a', 'r', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Sisig,"pork, onion, soy sauce, pepper, ginger, chili flakes, garlic powder, calamansi, butter, chicken liver, mayonnaise, salt, egg","['p', 'o', 'r', 'k', 'o', 'n', 'i', 'o', 'n', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'i', 'n', 'g', 'e', 'r', 'c', 'h', 'i', 'l', 'i', 'f', 'l', 'a', 'k', 'e', 's', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r', 'c', 'a', 'l', 'a', 'm', 'a', 'n', 's', 'i', 'b', 'u', 't', 't', 'e', 'r', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'l', 'i', 'v', 'e', 'r', 'm', 'a', 'y', 'o', 'n', 'n', 'a', 'i', 's', 'e', 's', 'a', 'l', 't', 'e', 'g', 'g']"
Picadillo,"ground beef, onion, garlic, tomato, raisins, beff broth, manzanilla olives, potato, carrot, green peas, salt, pepper","['g', 'r', 'o', 'u', 'n', 'd', 'b', 'e', 'e', 'f', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 't', 'o', 'm', 'a', 't', 'o', 'r', 'a', 'i', 's', 'i', 'n', 's', 'b', 'e', 'f', 'f', 'b', 'r', 'o', 't', 'h', 'm', 'a', 'n', 'z', 'a', 'n', 'i', 'l', 'l', 'a', 'o', 'l', 'i', 'v', 'e', 's', 'p', 'o', 't', 'a', 't', 'o', 'c', 'a', 'r', 'r', 'o', 't', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'a', 's', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Beef Steak,"beef, onion, scallion, soy sauce, calamansi, pepper, garlic powder, beef broth","['b', 'e', 'e', 'f', 'o', 'n', 'i', 'o', 'n', 's', 'c', 'a', 'l', 'l', 'i', 'o', 'n', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'c', 'a', 'l', 'a', 'm', 'a', 'n', 's', 'i', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h']"
Sopas,"chicken, cabbage, celery, onion, hotdog, carrot, evaporated milk, macaroni, garlic, salt, pepper","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'a', 'b', 'b', 'a', 'g', 'e', 'c', 'e', 'l', 'e', 'r', 'y', 'o', 'n', 'i', 'o', 'n', 'h', 'o', 't', 'd', 'o', 'g', 'c', 'a', 'r', 'r', 'o', 't', 'e', 'v', 'a', 'p', 'o', 'r', 'a', 't', 'e', 'd', 'm', 'i', 'l', 'k', 'm', 'a', 'c', 'a', 'r', 'o', 'n', 'i', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Dinuguan,"pork, vinegar, green chili, sugar, onion, garlic, pork blood, salt, pepper","['p', 'o', 'r', 'k', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 'g', 'r', 'e', 'e', 'n', 'c', 'h', 'i', 'l', 'i', 's', 'u', 'g', 'a', 'r', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'r', 'k', 'b', 'l', 'o', 'o', 'd', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Pork Igado,"pork, pig's liver, pig's kidney, green peas, carrot, garlic, onion, bell pepper, bay leaves, soy sauce, vinegar, salt, pepper","['p', 'o', 'r', 'k', 'p', 'i', 'g', 's', 'l', 'i', 'v', 'e', 'r', 'p', 'i', 'g', 's', 'k', 'i', 'd', 'n', 'e', 'y', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'a', 's', 'c', 'a', 'r', 'r', 'o', 't', 'g', 'a', 'r', 'l', 'i', 'c', 'o', 'n', 'i', 'o', 'n', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Binagoongan,"pork, shrimp paste, tomato, onion, garlic, beef broth, eggplant, pepper","['p', 'o', 'r', 'k', 's', 'h', 'r', 'i', 'm', 'p', 'p', 'a', 's', 't', 'e', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'e', 'g', 'g', 'p', 'l', 'a', 'n', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Sinarsahang Manok,"chicken, bell pepper , Knorr Chicken Cube, green peas ,long green beans, onion,garlic ,tomato,soy sauce,tomato sauce,tomato ketchup,white sugar,Salt, ground black pepper","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'k', 'n', 'o', 'r', 'r', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'u', 'b', 'e', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'a', 's', 'l', 'o', 'n', 'g', 'g', 'r', 'e', 'e', 'n', 'b', 'e', 'a', 'n', 's', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 't', 'o', 'm', 'a', 't', 'o', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 't', 'o', 'm', 'a', 't', 'o', 'k', 'e', 't', 'c', 'h', 'u', 'p', 'w', 'h', 'i', 't', 'e', 's', 'u', 'g', 'a', 'r', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Sweet and Sour Chicken Meatballs,"ground chicken,breadcrumbs,Knorr Chicken Cube,egg,salt,ground black pepper, banana ketchup,white sugar,white vinegar,bell pepper,onion ,carrot ,Knorr Liquid Seasoning","['g', 'r', 'o', 'u', 'n', 'd', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'b', 'r', 'e', 'a', 'd', 'c', 'r', 'u', 'm', 'b', 's', 'k', 'n', 'o', 'r', 'r', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'u', 'b', 'e', 'e', 'g', 'g', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 'b', 'a', 'n', 'a', 'n', 'a', 'k', 'e', 't', 'c', 'h', 'u', 'p', 'w', 'h', 'i', 't', 'e', 's', 'u', 'g', 'a', 'r', 'w', 'h', 'i', 't', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 'c', 'a', 'r', 'r', 'o', 't', 'k', 'n', 'o', 'r', 'r', 'l', 'i', 'q', 'u', 'i', 'd', 's', 'e', 'a', 's', 'o', 'n', 'i', 'n', 'g']"
Chicken Kare-Kare sa Gata,"chicken,Knorr Chicken Cube,ground peanuts,bok choy,eggplant,snake beans,onion,garlic,paprika,turmeric powder,bagoong alamang,coconut milk, Ground black pepper ,salt","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'k', 'n', 'o', 'r', 'r', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'u', 'b', 'e', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'e', 'a', 'n', 'u', 't', 's', 'b', 'o', 'k', 'c', 'h', 'o', 'y', 'e', 'g', 'g', 'p', 'l', 'a', 'n', 't', 's', 'n', 'a', 'k', 'e', 'b', 'e', 'a', 'n', 's', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'a', 'p', 'r', 'i', 'k', 'a', 't', 'u', 'r', 'm', 'e', 'r', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r', 'b', 'a', 'g', 'o', 'o', 'n', 'g', 'a', 'l', 'a', 'm', 'a', 'n', 'g', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'm', 'i', 'l', 'k', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 's', 'a', 'l', 't']"
Sotanghon Chicken Soup,"chicken,Knorr Chicken Cube,lemongrass red onion,garlic,ginger,fish sauce,green onions,sotanghon, ground white pepper","['c', 'h', 'i', 'c', 'k', 'e', 'n', 'k', 'n', 'o', 'r', 'r', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'c', 'u', 'b', 'e', 'l', 'e', 'm', 'o', 'n', 'g', 'r', 'a', 's', 's', 'r', 'e', 'd', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'i', 'n', 'g', 'e', 'r', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'g', 'r', 'e', 'e', 'n', 'o', 'n', 'i', 'o', 'n', 's', 's', 'o', 't', 'a', 'n', 'g', 'h', 'o', 'n', 'g', 'r', 'o', 'u', 'n', 'd', 'w', 'h', 'i', 't', 'e', 'p', 'e', 'p', 'p', 'e', 'r']"
