recipe_name,ingredients,ingredients_parsed
Pinangat na Galunggong sa Kamias,"galunggong,kamias,tomato,onion,garlic,ginger,green pepper,pork fat, Salt,ground black pepper","['g', 'a', 'l', 'u', 'n', 'g', 'g', 'o', 'n', 'g', 'k', 'a', 'm', 'i', 'a', 's', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'p', 'p', 'e', 'r', 'p', 'o', 'r', 'k', 'f', 'a', 't', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Crispy Fried Mahi Mahi Sarciado,"Mahi Mahi fillet,garlic,all-purpose flour, Roma tomato,yellow onion,red bell pepper,egg,vegetable broth, salt,olive oil","['m', 'a', 'h', 'i', 'm', 'a', 'h', 'i', 'f', 'i', 'l', 'l', 'e', 't', 'g', 'a', 'r', 'l', 'i', 'c', 'a', 'l', 'l', 'p', 'u', 'r', 'p', 'o', 's', 'e', 'f', 'l', 'o', 'u', 'r', 'r', 'o', 'm', 'a', 't', 'o', 'm', 'a', 't', 'o', 'y', 'e', 'l', 'l', 'o', 'w', 'o', 'n', 'i', 'o', 'n', 'r', 'e', 'd', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'e', 'g', 'g', 'v', 'e', 'g', 'e', 't', 'a', 'b', 'l', 'e', 'b', 'r', 'o', 't', 'h', 's', 'a', 'l', 't', 'o', 'l', 'i', 'v', 'e', 'o', 'i', 'l']"
Kilawing Tuna with Coconut Cream,"tuna,salt,ground black pepper,ginger,red onion ,Thai chili ,Jalapeno,limes,calamansi,coconut cream","['t', 'u', 'n', 'a', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'i', 'n', 'g', 'e', 'r', 'r', 'e', 'd', 'o', 'n', 'i', 'o', 'n', 't', 'h', 'a', 'i', 'c', 'h', 'i', 'l', 'i', 'j', 'a', 'l', 'a', 'p', 'e', 'n', 'o', 'l', 'i', 'm', 'e', 's', 'c', 'a', 'l', 'a', 'm', 'a', 'n', 's', 'i', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'c', 'r', 'e', 'a', 'm']"
Beef Salpicao,"beef tenderloin,garlic,salt,butter,olive oil,ground black pepper,Worcestershire Sauce,oyster sauce","['b', 'e', 'e', 'f', 't', 'e', 'n', 'd', 'e', 'r', 'l', 'o', 'i', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'a', 'l', 't', 'b', 'u', 't', 't', 'e', 'r', 'o', 'l', 'i', 'v', 'e', 'o', 'i', 'l', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 'w', 'o', 'r', 'c', 'e', 's', 't', 'e', 'r', 's', 'h', 'i', 'r', 'e', 's', 'a', 'u', 'c', 'e', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e']"
Beef Pares,"beef chuck,Knorr Beef Cube,star anise,onion,garlic,ginger,soy sauce,brown sugar, onion powder,ground black pepper, cornstarch,salt","['b', 'e', 'e', 'f', 'c', 'h', 'u', 'c', 'k', 'k', 'n', 'o', 'r', 'r', 'b', 'e', 'e', 'f', 'c', 'u', 'b', 'e', 's', 't', 'a', 'r', 'a', 'n', 'i', 's', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'i', 'n', 'g', 'e', 'r', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'b', 'r', 'o', 'w', 'n', 's', 'u', 'g', 'a', 'r', 'o', 'n', 'i', 'o', 'n', 'p', 'o', 'w', 'd', 'e', 'r', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 'c', 'o', 'r', 'n', 's', 't', 'a', 'r', 'c', 'h', 's', 'a', 'l', 't']"
Goto Lamang Loob ,"jasmine rice,glutinous rice, Knorr Beef Cube,beef heart,ox tripe,beef large intestine,onion,ginger,garlic,lemongrass,bay leaves,fish sauce,turmeric powder,onion powder, green onion,toasted garlic,chili garlic oil,Salt,ground black pepper","['j', 'a', 's', 'm', 'i', 'n', 'e', 'r', 'i', 'c', 'e', 'g', 'l', 'u', 't', 'i', 'n', 'o', 'u', 's', 'r', 'i', 'c', 'e', 'k', 'n', 'o', 'r', 'r', 'b', 'e', 'e', 'f', 'c', 'u', 'b', 'e', 'b', 'e', 'e', 'f', 'h', 'e', 'a', 'r', 't', 'o', 'x', 't', 'r', 'i', 'p', 'e', 'b', 'e', 'e', 'f', 'l', 'a', 'r', 'g', 'e', 'i', 'n', 't', 'e', 's', 't', 'i', 'n', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 'l', 'e', 'm', 'o', 'n', 'g', 'r', 'a', 's', 's', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 't', 'u', 'r', 'm', 'e', 'r', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 'p', 'o', 'w', 'd', 'e', 'r', 'g', 'r', 'e', 'e', 'n', 'o', 'n', 'i', 'o', 'n', 't', 'o', 'a', 's', 't', 'e', 'd', 'g', 'a', 'r', 'l', 'i', 'c', 'c', 'h', 'i', 'l', 'i', 'g', 'a', 'r', 'l', 'i', 'c', 'o', 'i', 'l', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Beef Asado,"beef chuck,Knorr Beef Cube,tomato sauce, soy sauce,white vinegar,whole peppercorn,bay leaves,lemon,tomato paste,butter, onion,garlic ","['b', 'e', 'e', 'f', 'c', 'h', 'u', 'c', 'k', 'k', 'n', 'o', 'r', 'r', 'b', 'e', 'e', 'f', 'c', 'u', 'b', 'e', 't', 'o', 'm', 'a', 't', 'o', 's', 'a', 'u', 'c', 'e', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'w', 'h', 'i', 't', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 'w', 'h', 'o', 'l', 'e', 'p', 'e', 'p', 'p', 'e', 'r', 'c', 'o', 'r', 'n', 'b', 'a', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'l', 'e', 'm', 'o', 'n', 't', 'o', 'm', 'a', 't', 'o', 'p', 'a', 's', 't', 'e', 'b', 'u', 't', 't', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c']"
Beef Papaitan,"beef heart,beef small intestine,beef tripe,beef liver,beef kidney,Knorr Sinigang sa Sampaloc Mix,onion,ginger,garlic , green pepper, beef bile ,Salt,pepper","['b', 'e', 'e', 'f', 'h', 'e', 'a', 'r', 't', 'b', 'e', 'e', 'f', 's', 'm', 'a', 'l', 'l', 'i', 'n', 't', 'e', 's', 't', 'i', 'n', 'e', 'b', 'e', 'e', 'f', 't', 'r', 'i', 'p', 'e', 'b', 'e', 'e', 'f', 'l', 'i', 'v', 'e', 'r', 'b', 'e', 'e', 'f', 'k', 'i', 'd', 'n', 'e', 'y', 'k', 'n', 'o', 'r', 'r', 's', 'i', 'n', 'i', 'g', 'a', 'n', 'g', 's', 'a', 's', 'a', 'm', 'p', 'a', 'l', 'o', 'c', 'm', 'i', 'x', 'o', 'n', 'i', 'o', 'n', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'p', 'p', 'e', 'r', 'b', 'e', 'e', 'f', 'b', 'i', 'l', 'e', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Creamy Lengua,"ox tongue,Knorr Beef Cube,whole kernel corn,cream of mushroom,all-purpose cream,onion,garlic,butter,  Salt,ground black pepper","['o', 'x', 't', 'o', 'n', 'g', 'u', 'e', 'k', 'n', 'o', 'r', 'r', 'b', 'e', 'e', 'f', 'c', 'u', 'b', 'e', 'w', 'h', 'o', 'l', 'e', 'k', 'e', 'r', 'n', 'e', 'l', 'c', 'o', 'r', 'n', 'c', 'r', 'e', 'a', 'm', 'o', 'f', 'm', 'u', 's', 'h', 'r', 'o', 'o', 'm', 'a', 'l', 'l', 'p', 'u', 'r', 'p', 'o', 's', 'e', 'c', 'r', 'e', 'a', 'm', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'b', 'u', 't', 't', 'e', 'r', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Beef Hinalang,"beef,Knorr Beef Cube,green onion,Thai chili pepper,white vinegar,soy sauce,onion,ginger,garlic ,  Ground black pepper ","['b', 'e', 'e', 'f', 'k', 'n', 'o', 'r', 'r', 'b', 'e', 'e', 'f', 'c', 'u', 'b', 'e', 'g', 'r', 'e', 'e', 'n', 'o', 'n', 'i', 'o', 'n', 't', 'h', 'a', 'i', 'c', 'h', 'i', 'l', 'i', 'p', 'e', 'p', 'p', 'e', 'r', 'w', 'h', 'i', 't', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Asian Beef with Mushroom,"beef sirloin,white mushrooms,snow peas,soy sauce,ginger,garlic powder,beef broth,yellow onion,cooking wine, cornstarch,ground black pepper,Salt ","['b', 'e', 'e', 'f', 's', 'i', 'r', 'l', 'o', 'i', 'n', 'w', 'h', 'i', 't', 'e', 'm', 'u', 's', 'h', 'r', 'o', 'o', 'm', 's', 's', 'n', 'o', 'w', 'p', 'e', 'a', 's', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'y', 'e', 'l', 'l', 'o', 'w', 'o', 'n', 'i', 'o', 'n', 'c', 'o', 'o', 'k', 'i', 'n', 'g', 'w', 'i', 'n', 'e', 'c', 'o', 'r', 'n', 's', 't', 'a', 'r', 'c', 'h', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 's', 'a', 'l', 't']"
Galbi,"beef short ribs,soy sauce,garlic,brown sugar,granulated white sugar,rice wine,sesame oil,chili powder","['b', 'e', 'e', 'f', 's', 'h', 'o', 'r', 't', 'r', 'i', 'b', 's', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'g', 'a', 'r', 'l', 'i', 'c', 'b', 'r', 'o', 'w', 'n', 's', 'u', 'g', 'a', 'r', 'g', 'r', 'a', 'n', 'u', 'l', 'a', 't', 'e', 'd', 'w', 'h', 'i', 't', 'e', 's', 'u', 'g', 'a', 'r', 'r', 'i', 'c', 'e', 'w', 'i', 'n', 'e', 's', 'e', 's', 'a', 'm', 'e', 'o', 'i', 'l', 'c', 'h', 'i', 'l', 'i', 'p', 'o', 'w', 'd', 'e', 'r']"
Soup Number 5,"Ox bat and balls,lemongrass,sibot herb mix,Thai chili pepper ,green onion ,ginger,onions,garlic, beef broth,cornstarch,granulated white sugar,ground black pepper,fish sauce","['o', 'x', 'b', 'a', 't', 'a', 'n', 'd', 'b', 'a', 'l', 'l', 's', 'l', 'e', 'm', 'o', 'n', 'g', 'r', 'a', 's', 's', 's', 'i', 'b', 'o', 't', 'h', 'e', 'r', 'b', 'm', 'i', 'x', 't', 'h', 'a', 'i', 'c', 'h', 'i', 'l', 'i', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'r', 'e', 'e', 'n', 'o', 'n', 'i', 'o', 'n', 'g', 'i', 'n', 'g', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 's', 'g', 'a', 'r', 'l', 'i', 'c', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'c', 'o', 'r', 'n', 's', 't', 'a', 'r', 'c', 'h', 'g', 'r', 'a', 'n', 'u', 'l', 'a', 't', 'e', 'd', 'w', 'h', 'i', 't', 'e', 's', 'u', 'g', 'a', 'r', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e']"
Nilagang Baka,"beef sirloin ,baby bok choy,pechay,cabbage,Saba banana ,baking potato ,white onion ,celery,star anise,beef broth, Salt,pepper","['b', 'e', 'e', 'f', 's', 'i', 'r', 'l', 'o', 'i', 'n', 'b', 'a', 'b', 'y', 'b', 'o', 'k', 'c', 'h', 'o', 'y', 'p', 'e', 'c', 'h', 'a', 'y', 'c', 'a', 'b', 'b', 'a', 'g', 'e', 's', 'a', 'b', 'a', 'b', 'a', 'n', 'a', 'n', 'a', 'b', 'a', 'k', 'i', 'n', 'g', 'p', 'o', 't', 'a', 't', 'o', 'w', 'h', 'i', 't', 'e', 'o', 'n', 'i', 'o', 'n', 'c', 'e', 'l', 'e', 'r', 'y', 's', 't', 'a', 'r', 'a', 'n', 'i', 's', 'e', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Utan Bisaya,"squash,taro,Knorr Shrimp Cube,ginger,lemongrass,Chinese eggplant,string beans,okra,spinach, Salt,ground black pepper","['s', 'q', 'u', 'a', 's', 'h', 't', 'a', 'r', 'o', 'k', 'n', 'o', 'r', 'r', 's', 'h', 'r', 'i', 'm', 'p', 'c', 'u', 'b', 'e', 'g', 'i', 'n', 'g', 'e', 'r', 'l', 'e', 'm', 'o', 'n', 'g', 'r', 'a', 's', 's', 'c', 'h', 'i', 'n', 'e', 's', 'e', 'e', 'g', 'g', 'p', 'l', 'a', 'n', 't', 's', 't', 'r', 'i', 'n', 'g', 'b', 'e', 'a', 'n', 's', 'o', 'k', 'r', 'a', 's', 'p', 'i', 'n', 'a', 'c', 'h', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Ginataang Puso ng Saging,"banana blossom ,Knorr Ginataang Gulay Mix, ground pork,Thai chili pepper,onion,garlic,Ground black pepper","['b', 'a', 'n', 'a', 'n', 'a', 'b', 'l', 'o', 's', 's', 'o', 'm', 'k', 'n', 'o', 'r', 'r', 'g', 'i', 'n', 'a', 't', 'a', 'a', 'n', 'g', 'g', 'u', 'l', 'a', 'y', 'm', 'i', 'x', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'o', 'r', 'k', 't', 'h', 'a', 'i', 'c', 'h', 'i', 'l', 'i', 'p', 'e', 'p', 'p', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Ginisang Pechay at Giniling with Oyster Sauce,"pechay,ground pork,oyster sauce,onion ,garlic, Salt,ground black pepper","['p', 'e', 'c', 'h', 'a', 'y', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'o', 'r', 'k', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Sauteed Bottle Gourd with Ground Pork and Shrimp,"bottle gourd upo,ground pork,shrimp ,tomato,onion,garlic,beef broth,chicken broth, Salt,ground black pepper","['b', 'o', 't', 't', 'l', 'e', 'g', 'o', 'u', 'r', 'd', 'u', 'p', 'o', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'o', 'r', 'k', 's', 'h', 'r', 'i', 'm', 'p', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 'b', 'r', 'o', 't', 'h', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Tofu and Green Bean Stir Fry in Oyster Sauce with Salted Black Beans," tofu,snake beans,red bell pepper,salted black beans,chicken stock, oyster sauce, onion ,ground black pepper, garlic powder","['t', 'o', 'f', 'u', 's', 'n', 'a', 'k', 'e', 'b', 'e', 'a', 'n', 's', 'r', 'e', 'd', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 's', 'a', 'l', 't', 'e', 'd', 'b', 'l', 'a', 'c', 'k', 'b', 'e', 'a', 'n', 's', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 's', 't', 'o', 'c', 'k', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'w', 'd', 'e', 'r']"
Ginisang Sigarilyas,"winged bean,pork,tomato,onion,garlic, ground black pepper, Fish sauce","['w', 'i', 'n', 'g', 'e', 'd', 'b', 'e', 'a', 'n', 'p', 'o', 'r', 'k', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e']"
Laswa,"shrimp ,eggplant ,kalabasa string beans,saluyot ,alugbati,kulitis,okra,tomato,onion,bagoong alamang   ,Salt,ground black pepper","['s', 'h', 'r', 'i', 'm', 'p', 'e', 'g', 'g', 'p', 'l', 'a', 'n', 't', 'k', 'a', 'l', 'a', 'b', 'a', 's', 'a', 's', 't', 'r', 'i', 'n', 'g', 'b', 'e', 'a', 'n', 's', 's', 'a', 'l', 'u', 'y', 'o', 't', 'a', 'l', 'u', 'g', 'b', 'a', 't', 'i', 'k', 'u', 'l', 'i', 't', 'i', 's', 'o', 'k', 'r', 'a', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 'b', 'a', 'g', 'o', 'o', 'n', 'g', 'a', 'l', 'a', 'm', 'a', 'n', 'g', 's', 'a', 'l', 't', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Ginisang Munggo,"Mung beans,garlic,pork ,spinach,tomato ,onion ,shrimp ,fish sauce, Knorr beef cube,chicharon,ground black pepper","['m', 'u', 'n', 'g', 'b', 'e', 'a', 'n', 's', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'o', 'r', 'k', 's', 'p', 'i', 'n', 'a', 'c', 'h', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 's', 'h', 'r', 'i', 'm', 'p', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e', 'k', 'n', 'o', 'r', 'r', 'b', 'e', 'e', 'f', 'c', 'u', 'b', 'e', 'c', 'h', 'i', 'c', 'h', 'a', 'r', 'o', 'n', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Ginisang Togue,"mung bean sprout,tofu,carrot,shrimp,tomato ,onion ,garlic ,red bell pepper,green bell pepper ,oyster sauce,Ground black pepper","['m', 'u', 'n', 'g', 'b', 'e', 'a', 'n', 's', 'p', 'r', 'o', 'u', 't', 't', 'o', 'f', 'u', 'c', 'a', 'r', 'r', 'o', 't', 's', 'h', 'r', 'i', 'm', 'p', 't', 'o', 'm', 'a', 't', 'o', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'r', 'e', 'd', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'g', 'r', 'e', 'e', 'n', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 'g', 'r', 'o', 'u', 'n', 'd', 'b', 'l', 'a', 'c', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
